Test Case,Path Length (m),Planning Time (ms),Total Turning Angle (Deg),Inflection Points
1,18.189,155.249,144.9,6
2,28.05,375.024,166.7,8
3,25.018,319.785,203.3,6
4,24.711,287.167,179.5,8
5,19.195,186.032,157.0,6
6,27.109,279.122,209.6,9
7,19.372,261.432,193.1,10
8,24.263,218.289,201.3,6
9,25.555,273.307,183.3,6
10,25.369,312.735,181.2,8
11,18.677,199.158,178.2,6
12,21.884,320.324,186.9,7
13,18.059,203.31,182.2,13
14,20.895,211.285,136.1,8
15,25.061,271.918,181.2,8
16,26.381,305.545,210.9,7
17,19.053,165.342,168.0,6
18,23.653,224.437,177.6,6
19,18.031,167.306,139.8,10
20,18.1,195.255,189.3,10


1,19.61,69.599,5805.0,129
2,29.938,205.615,9405.0,209
3,26.928,146.495,4905.0,109
4,26.22,194.019,6615.0,147
5,20.612,128.349,4905.0,109
6,28.979,229.82,4365.0,97
7,20.346,146.242,3195.0,71
8,26.112,126.698,4275.0,95
9,27.334,138.192,4455.0,99
10,26.793,182.537,5265.0,117
11,20.226,118.851,3645.0,81
12,23.607,187.954,5625.0,125
13,19.006,98.731,3375.0,75
14,21.903,101.574,2385.0,53
15,26.388,189.999,3195.0,71
16,28.334,191.36,6525.0,145
17,20.466,135.117,2565.0,57
18,25.31,108.482,2835.0,63
19,19.222,118.488,3645.0,81
20,19.414,171.623,4995.0,111
