x,y
0.0,0.0
0.3373,0.337
0.6739,0.6705
1.0087,0.9974
1.341,1.3143
1.67,1.618
1.9948,1.9057
2.3146,2.1742
2.6286,2.4211
2.936,2.6437
3.2361,2.8399
3.5282,3.0078
3.8114,3.1456
4.085,3.252
4.3484,3.3259
4.601,3.3666
4.8422,3.3735
5.0712,3.3468
5.2874,3.2868
5.4905,3.1938
5.6799,3.0689
5.8551,2.9133
6.0156,2.7287
6.1612,2.5168
6.2912,2.2797
6.4056,2.0198
6.504,1.7398
6.5861,1.4424
6.6518,1.1306
6.7008,0.8075
6.7331,0.4763
6.7485,0.1404
6.7471,-0.197
6.7289,-0.5324
6.6937,-0.8625
6.6419,-1.1839
6.5735,-1.4935
6.4886,-1.7882
6.3876,-2.065
6.2705,-2.3212
6.1377,-2.5542
5.9897,-2.7617
5.8266,-2.9415
5.649,-3.092
5.4573,-3.2117
5.252,-3.2992
5.0335,-3.3537
4.8025,-3.3748
4.5594,-3.362
4.3049,-3.3158
4.0397,-3.2363
3.7643,-3.1246
3.4796,-2.9817
3.1862,-2.8089
2.8848,-2.6081
2.5762,-2.3812
2.2612,-2.1305
1.9405,-1.8585
1.615,-1.568
1.2853,-1.2618
0.9526,-0.9431
0.6174,-0.6148
0.2807,-0.2804
-0.0568,0.0568
-0.3941,0.3933
-0.7303,0.726
-1.0648,1.0514
-1.3966,1.3663
-1.7249,1.6677
-2.0489,1.9523
-2.3678,2.2174
-2.6808,2.4602
-2.987,2.6787
-3.2858,2.8702
-3.5764,3.0332
-3.858,3.1658
-4.13,3.2668
-4.3917,3.335
-4.6424,3.3701
-4.8815,3.3714
-5.1084,3.3391
-5.3225,3.2734
-5.5233,3.1749
-5.7104,3.0448
-5.8831,2.8843
-6.0412,2.6949
-6.1841,2.4786
-6.3116,2.2375
-6.4233,1.9741
-6.519,1.6909
-6.5983,1.3909
-6.6612,1.077
-6.7074,0.7522
-6.7368,0.42
-6.7495,0.0836
-6.7453,-0.2536
-6.7241,-0.5884
-6.6862,-0.9172
-6.6315,-1.2369
-6.5603,-1.5442
-6.4727,-1.836
-6.3689,-2.1096
-6.2492,-2.3621
-6.1139,-2.5909
-5.9633,-2.7939
-5.7978,-2.9689
-5.6178,-3.1143
-5.4238,-3.2287
-5.2161,-3.3106
-4.9955,-3.3596
-4.7624,-3.375
-4.5174,-3.3566
-4.2611,-3.3047
-3.9941,-3.2198
-3.7172,-3.1027
-3.4309,-2.9546
-3.1361,-2.7771
-2.8334,-2.5717
-2.5236,-2.3407
-2.2076,-2.0862
-1.8861,-1.811
-1.5598,-1.5175
-1.2296,-1.209
-0.8963,-0.8884
0.0,0.0
