t,x,y
1773666470.2659671,0.0,0.0
1773666470.3018844,0.0,0.0
1773666470.336409,0.0,0.0
1773666470.3663473,0.0,0.0
1773666470.4009643,0.0,0.0
1773666470.4366882,0.0,0.0
1773666470.4665613,0.0,0.0
1773666470.50178,0.0,0.0
1773666470.5368698,0.0,0.0
1773666470.5668387,0.0,0.0
1773666470.6009252,0.0,0.0
1773666470.6365387,0.0,0.0
1773666470.66645,0.0,0.0
1773666470.70173,0.0,0.0
1773666470.7362988,0.0,0.0
1773666470.7663047,0.0,0.0
1773666470.8014364,0.0,0.0
1773666470.8366556,0.0,0.0
1773666470.8666508,0.0,0.0
1773666470.900998,0.0,0.0
1773666470.9363391,0.0,0.0
1773666470.9664614,0.0,0.0
1773666471.0017502,0.0,0.0
1773666471.0359802,0.0,0.0
1773666471.0659199,0.0,0.0
1773666471.1011057,0.0,0.0
1773666471.1363192,0.0,0.0
1773666471.1660738,0.0,0.0
1773666471.2011874,0.0,0.0
1773666471.2364345,0.0,0.0
1773666471.2664204,0.0,0.0
1773666471.3016267,0.0,0.0
1773666471.3369005,0.0,0.0
1773666471.365992,0.0,0.0
1773666471.4013832,0.0,0.0
1773666471.4365218,0.0,0.0
1773666471.4664156,0.0,0.0
1773666471.5018039,0.0,0.0
1773666471.5360227,0.0,0.0
1773666471.5660176,0.0,0.0
1773666471.6012652,0.0,0.0
1773666471.63635,0.0,0.0
1773666471.6662169,0.0,0.0
1773666471.701446,0.0,0.0
1773666471.7368405,0.0,0.0
1773666471.766708,0.0,0.0
1773666471.801232,0.0,0.0
1773666471.8365011,0.0,0.0
1773666471.866766,0.0,0.0
1773666471.9020674,0.0,0.0
1773666471.9361882,0.0,0.0
1773666471.9660394,0.0,0.0
1773666472.0012956,0.0,0.0
1773666472.0367053,0.0,0.0
1773666472.066832,0.0,0.0
1773666472.100934,0.0,0.0
1773666472.136236,0.0,0.0
1773666472.166356,0.0,0.0
1773666472.2016006,0.0,0.0
1773666472.236795,0.0,0.0
1773666472.2667093,0.0,0.0
1773666472.3019137,0.0,0.0
1773666472.3360906,0.0,0.0
1773666472.3670518,0.0,0.0
1773666472.4012969,0.0,0.0
1773666472.436614,0.0,0.0
1773666472.466382,0.0,0.0
1773666472.5016057,0.0,0.0
1773666472.5369544,0.0,0.0
1773666472.5667205,0.0,0.0
1773666472.601892,0.0,0.0
1773666472.6361148,0.0,0.0
1773666472.6662002,0.0,0.0
1773666472.7014775,0.0,0.0
1773666472.7365818,0.0,0.0
1773666472.7665513,0.0,0.0
1773666472.801706,0.0,0.0
1773666472.8370466,0.0,0.0
1773666472.8666966,0.0,0.0
1773666472.9017968,0.0,0.0
1773666472.937009,0.0,0.0
1773666472.9668636,0.0,0.0
1773666473.0011542,0.0,0.0
1773666473.036508,0.0,0.0
1773666473.0664623,0.0,0.0
1773666473.1018069,0.0,0.0
1773666473.1360874,0.0,0.0
1773666473.1670313,0.0,0.0
1773666473.201298,0.0,0.0
1773666473.2366064,0.0,0.0
1773666473.2666247,0.0,0.0
1773666473.3018138,0.0,0.0
1773666473.337009,0.0,0.0
1773666473.3668692,0.0,0.0
1773666473.4020035,0.0,0.0
1773666473.4370728,0.0,0.0
1773666473.467014,0.0,0.0
1773666473.501564,0.0,0.0
1773666473.536886,0.0,0.0
1773666473.5667884,0.0,0.0
1773666473.6020446,0.0,0.0
1773666473.6371398,0.0,0.0
1773666473.6670303,0.0,0.0
1773666473.7012527,0.0,0.0
1773666473.7364137,0.0,0.0
1773666473.7663682,0.0,0.0
1773666473.801517,0.0,0.0
1773666473.8367136,0.0,0.0
1773666473.8667905,0.0,0.0
1773666473.9021082,0.0,0.0
1773666473.936391,0.0,0.0
1773666473.9665906,0.0,0.0
1773666474.001752,0.0,0.0
1773666474.0332222,0.0,0.0
1773666474.0661285,0.0,0.0
1773666474.1014638,0.0,0.0
1773666474.1365345,0.0,0.0
1773666474.1663911,0.0,0.0
1773666474.201457,0.0,0.0
1773666474.2365282,0.0,0.0
1773666474.2663803,0.0,0.0
1773666474.3013127,0.0,0.0
1773666474.3365114,0.0,0.0
1773666474.3666034,0.0,0.0
1773666474.401902,0.0,0.0
1773666474.4370267,0.0,0.0
1773666474.4668121,0.0,0.0
1773666474.5018528,0.0,0.0
1773666474.5370018,0.0,0.0
1773666474.5669646,0.0,0.0
1773666474.6021802,0.0,0.0
1773666474.6361444,0.0,0.0
1773666474.6669922,0.0,0.0
1773666474.7020426,0.0,0.0
1773666474.7372105,0.0,0.0
1773666474.767174,0.0,0.0
1773666474.8014257,0.0,0.0
1773666474.8366244,0.0,0.0
1773666474.8665993,0.0,0.0
1773666474.9018033,0.0,0.0
1773666474.9371147,0.0,0.0
1773666474.9671056,0.0,0.0
1773666475.0012436,0.0,0.0
1773666475.0365174,0.0,0.0
1773666475.0665562,0.0,0.0
1773666475.1020873,0.0,0.0
1773666475.1364796,0.0,0.0
1773666475.1664245,0.0,0.0
1773666475.2017155,0.010051792727914713,0.00013081796515858053
1773666475.2369661,0.019117681858347117,-4.200497039800716e-05
1773666475.2668328,0.0372904590206769,-0.00045031888946467233
1773666475.302029,0.054916145564614986,-0.0006263433602231246
1773666475.3363516,0.0770355449129719,-0.0009399274098361093
1773666475.366287,0.09991807946315105,-0.0015528672696844162
1773666475.401396,0.1276521735905662,-0.0024341630245321173
1773666475.4365814,0.15190610997411935,-0.002902580170017629
1773666475.4663641,0.17336590252511103,-0.0031014567099296566
1773666475.5014522,0.19898044703939918,-0.003248261834171009
1773666475.5364678,0.22505385590951307,-0.0030324117561749187
1773666475.5665398,0.24514257741391304,-0.0028952205851571
1773666475.6018386,0.2701028866542819,-0.002991998481782722
1773666475.6370957,0.29540771731818777,-0.0031287811858655783
1773666475.6669104,0.31315740661873603,-0.0034729478522070134
1773666475.70228,0.3355774652979776,-0.004084486700739902
1773666475.7363968,0.351848732566669,-0.0045012021538108175
1773666475.7672896,0.36825207087634587,-0.004959999804257464
1773666475.801471,0.4009976021389913,-0.006042918418891067
1773666475.8369172,0.4292188480050017,-0.007254186863530752
1773666475.8666978,0.4531995764640792,-0.0082899505801308
1773666475.9019747,0.48143221319758395,-0.009339176552722985
1773666475.9361997,0.5093276779561825,-0.010017017898518497
1773666475.9672549,0.5304107475435047,-0.01051559522897292
1773666476.001408,0.5555232029231104,-0.011042940634130177
1773666476.0364919,0.5882905083124025,-0.011598502212960786
1773666476.0663135,0.6188270111940545,-0.012080610091044898
1773666476.1014793,0.6557871723665459,-0.012080789703676124
1773666476.1366537,0.6909629189601044,-0.01159791023567457
1773666476.1665661,0.721615535055874,-0.011105522909383388
1773666476.201736,0.7487494158867188,-0.010321287873469863
1773666476.2368436,0.7785736630046247,-0.00945493422058766
1773666476.2666628,0.805481094366258,-0.009057483444981102
1773666476.301899,0.8385502978161334,-0.008403764179934013
1773666476.337128,0.8723234540830546,-0.007328253336273998
1773666476.3670437,0.9056980848453677,-0.0066813248994351945
1773666476.4022756,0.9443071659443749,-0.005381094187554314
1773666476.436444,0.9682202453702579,-0.004535810973235264
1773666476.4671319,0.9935992825108059,-0.0038942391644184366
1773666476.501492,1.0284755581989915,-0.0027768310414932602
1773666476.5365646,1.0682148960961415,-0.0015073767846685885
1773666476.5663574,1.1032112322321375,9.707619195185281e-05
1773666476.6013968,1.1469919598455105,0.0029787802875099125
1773666476.6366563,1.1914130684225424,0.006398816173865821
1773666476.6665847,1.2181851532309678,0.008758036734078104
1773666476.7018037,1.2544763498198417,0.012337168996645694
1773666476.736973,1.3003229233513096,0.01744062947098628
1773666476.7669735,1.34165273142547,0.022616131519213736
1773666476.80202,1.390648105976408,0.029423883160228724
1773666476.8362675,1.4310771785110319,0.03610249740022399
1773666476.8671036,1.4689610970304554,0.042988789337468754
1773666476.9022915,1.5131337774176328,0.0511675077359527
1773666476.9364748,1.5562461632973932,0.05996308333483832
1773666476.9664335,1.5922423003749342,0.06830261183626964
1773666477.0016508,1.6410137230786477,0.080188646624484
1773666477.0367131,1.69086557774666,0.09269200208418242
1773666477.0666246,1.7238639174434656,0.1014559147057913
1773666477.101939,1.7655969897804102,0.11317224082125997
1773666477.1370585,1.800942847631844,0.12366171879291393
1773666477.1670759,1.8326724889969124,0.13377536365497228
1773666477.2023447,1.880942567138439,0.15014281576644867
1773666477.2365499,1.928749730144495,0.16680967279387274
1773666477.2666554,1.9714475710038328,0.18191537287329515
1773666477.3020878,2.016069233565601,0.198700814073639
1773666477.3363736,2.0600559212301657,0.2161954516490232
1773666477.3672626,2.0922691251883045,0.23000939532848774
1773666477.4014664,2.130678187987334,0.2469075204293082
1773666477.4363987,2.177033369157441,0.26803417091828563
1773666477.4664183,2.2186896533386493,0.2877459155047977
1773666477.5014975,2.2678597699389687,0.3118034255896726
1773666477.5364647,2.3141786994713978,0.3357557276403796
1773666477.5672212,2.355062883230685,0.3583549987126861
1773666477.6023448,2.397923939914836,0.3831927627227143
1773666477.6365225,2.4405673649561006,0.40874277883466315
1773666477.6674452,2.479677238726006,0.43351905149627956
1773666477.7015085,2.5240819488505317,0.4621943680620919
1773666477.736748,2.5702686167889666,0.49292372428537845
1773666477.7665536,2.6087102043414605,0.5199058576968303
1773666477.8018515,2.6543327815373248,0.5526563319706311
1773666477.8361874,2.6854160536859255,0.5764446498758407
1773666477.867158,2.7163295016157973,0.6007771147518621
1773666477.9023974,2.7638397863377384,0.6389961040940902
1773666477.936507,2.8092264801128284,0.6772611250275044
1773666477.9665582,2.8493809638941867,0.711968452044238
1773666478.0016086,2.890344005295581,0.7489586428342176
1773666478.0367463,2.931621982906549,0.7877589850965565
1773666478.0666528,2.9588837686788114,0.8148571904736844
1773666478.101643,2.9931173111805465,0.8501807975689847
1773666478.1371343,3.035559812759611,0.8958648157578717
1773666478.1669807,3.0717314814087495,0.9367078141305306
1773666478.2019832,3.1136084639130135,0.986294573543902
1773666478.236235,3.1483960384723697,1.0291397424135835
1773666478.2673643,3.179564870609279,1.0704511730436057
1773666478.3014865,3.213996023817142,1.1189588136532123
1773666478.3367217,3.2485466635136637,1.1695509848004126
1773666478.3667042,3.2752836139901915,1.2112540270463577
1773666478.4020278,3.309071012080433,1.2664679453934686
1773666478.4362884,3.341130773596522,1.32195275186166
1773666478.470449,3.369419203815631,1.3743802877175137
1773666478.5014985,3.3941850330395646,1.4238343741639075
1773666478.5367796,3.411834704723723,1.4631072843376438
1773666478.5666769,3.428393057847688,1.50069615316952
1773666478.602005,3.4559324096192015,1.5657399154459497
1773666478.6362429,3.4790482220443315,1.6275453934437434
1773666478.6671124,3.498682707877924,1.6845302452945554
1773666478.702164,3.516330905560833,1.7410678512664746
1773666478.7362533,3.532501644019997,1.7979925318504062
1773666478.767168,3.542487729710079,1.8373613535050635
1773666478.8023667,3.5538670094711176,1.8870645841988714
1773666478.836528,3.567211764907511,1.9543922249723933
1773666478.8674839,3.5768086057974093,2.0133563112195296
1773666478.901493,3.5851915698943397,2.079246249070299
1773666478.9367054,3.5911755413856907,2.142366678992051
1773666478.96669,3.5953998368836584,2.1972761063520845
1773666479.0019312,3.5983499256131513,2.2586125493769678
1773666479.0362532,3.599301445779337,2.3196423320409263
1773666479.0672395,3.598760287823419,2.3757303542066035
1773666479.1025019,3.5961026567033803,2.4433496267254227
1773666479.13667,3.5910115816602253,2.509785635937802
1773666479.166691,3.585319208015445,2.5630740872577675
1773666479.2019987,3.576659208014906,2.6270856661687385
1773666479.2363105,3.5698152580230635,2.66956432649052
1773666479.2704527,3.5616859799776357,2.7169367349634954
1773666479.301583,3.54948376499061,2.7818098533993734
1773666479.3370464,3.5368330574543103,2.846175319238874
1773666479.3669937,3.528240864216469,2.8884674048602594
1773666479.4023395,3.5146548116192426,2.9635395848249497
1773666479.4363954,3.501547369165201,3.0397963095448213
1773666479.4705603,3.4928496401199918,3.094932665149039
1773666479.5024095,3.4853942291259967,3.1503643050132126
1773666479.535463,3.4804562652866156,3.1906835066885826
1773666479.5675108,3.4770523892219876,3.234801631034242
1773666479.6016426,3.4743832512467363,3.2999052550567143
1773666479.6368814,3.4737275065733613,3.3617022046915164
1773666479.6668484,3.4749140307453463,3.4145117597482995
1773666479.7019181,3.4778642355300318,3.469006766352325
1773666479.7370982,3.4826689049897,3.524335786560763
1773666479.7668858,3.486288135784586,3.557170147557034
1773666479.802123,3.492743383410376,3.601013745906197
1773666479.8362768,3.503327156860691,3.6596004594094924
1773666479.8704886,3.5156800155972316,3.716601412016814
1773666479.902512,3.529260214087132,3.7698726757531356
1773666479.9365926,3.5424506471345993,3.8163353495065455
1773666479.9666917,3.5547689836509306,3.8588674193217645
1773666480.0020356,3.570531056856267,3.9081677134786474
1773666480.036272,3.587780311134516,3.9552749636109557
1773666480.0704207,3.6057796227669856,4.000271071024734
1773666480.102486,3.6256249055509793,4.045739951584671
1773666480.1354854,3.6475257921373374,4.0919664514778145
1773666480.167398,3.6663401603331924,4.129988386629952
1773666480.201766,3.688214741193935,4.171816960998755
1773666480.2369819,3.707268230129772,4.205738598555376
1773666480.2676396,3.7301602090351147,4.245101847618517
1773666480.3018289,3.7574366531194374,4.289240339089261
1773666480.337018,3.7778403567774594,4.319586837097832
1773666480.3669844,3.7968958750184325,4.346679765910806
1773666480.4022667,3.822220135645614,4.381201072633189
1773666480.435388,3.8462197096529698,4.412040758750237
1773666480.4674828,3.874340955313679,4.446607475734199
1773666480.5017264,3.905254813544213,4.4827225286603145
1773666480.5367649,3.93820197614814,4.518886649964414
1773666480.567572,3.9627857891709195,4.5444859093107715
