x,y
0.0,0.0
0.6747,0.6739
1.3478,1.341
2.0174,1.9948
2.682,2.6286
3.34,3.2361
3.9895,3.8113
4.6291,4.3485
5.2571,4.8422
5.872,5.2875
6.4722,5.6799
7.0563,6.0156
7.6227,6.2913
8.17,6.504
8.6969,6.6518
9.2021,6.7331
9.6843,6.7471
10.1423,6.6937
10.5749,6.5735
10.9811,6.3875
11.3599,6.1378
11.7102,5.8267
12.0313,5.4574
12.3223,5.0335
12.5825,4.5594
12.8113,4.0397
13.008,3.4796
13.1723,2.8848
13.3036,2.2612
13.4016,1.6149
13.4662,0.9526
13.4971,0.2807
13.4942,-0.394
13.4577,-1.0648
13.3875,-1.7249
13.2838,-2.3678
13.1469,-2.987
12.9772,-3.5764
12.7751,-4.13
12.541,-4.6424
12.2755,-5.1084
11.9794,-5.5234
11.6533,-5.8831
11.2981,-6.1841
10.9147,-6.4233
10.504,-6.5983
10.067,-6.7074
9.6049,-6.7495
9.1188,-6.7241
8.6098,-6.6316
8.0794,-6.4727
7.5287,-6.2492
6.9593,-5.9633
6.3724,-5.6178
5.7696,-5.2162
5.1524,-4.7624
4.5223,-4.261
3.881,-3.7171
3.2299,-3.1361
2.5707,-2.5237
1.9051,-1.8861
1.2348,-1.2296
0.5613,-0.5609
-0.1135,0.1135
-0.7881,0.7867
-1.4606,1.4521
-2.1296,2.1029
-2.7932,2.7327
-3.4498,3.3353
-4.0978,3.9045
-4.7356,4.4347
-5.3615,4.9205
-5.974,5.3573
-6.5716,5.7404
-7.1528,6.0663
-7.7161,6.3315
-8.2601,6.5335
-8.7834,6.6701
-9.2848,6.7402
-9.763,6.7429
-10.2168,6.6782
-10.6451,6.5468
-11.0467,6.3499
-11.4208,6.0897
-11.7663,5.7685
-12.0824,5.3898
-12.3682,4.9572
-12.6232,4.475
-12.8466,3.9482
-13.0379,3.3819
-13.1967,2.7818
-13.3224,2.1539
-13.4148,1.5045
-13.4737,0.8401
-13.499,0.1672
-13.4905,-0.5073
-13.4482,-1.1767
-13.3724,-1.8344
-13.2631,-2.4737
-13.1207,-3.0884
-12.9455,-3.6721
-12.7379,-4.2192
-12.4985,-4.7242
-12.2278,-5.1819
-11.9266,-5.5878
-11.5956,-5.9379
-11.2356,-6.2287
-10.8475,-6.4573
-10.4323,-6.6213
-9.991,-6.7192
-9.5248,-6.7499
-9.0347,-6.7132
-8.5221,-6.6094
-7.9882,-6.4396
-7.4343,-6.2055
-6.8618,-5.9093
-6.2721,-5.5541
-5.6668,-5.1434
-5.0473,-4.6813
-4.4152,-4.1724
-3.7721,-3.6219
-3.1196,-3.0351
-2.4592,-2.418
-1.7927,-1.7768
