x,y
0.0,0.0
0.0008,-0.1003
0.0034,-0.2005
0.0075,-0.3007
0.0134,-0.4008
0.0209,-0.5007
0.0301,-0.6006
0.041,-0.7002
0.0535,-0.7997
0.0677,-0.899
0.0836,-0.998
0.1011,-1.0967
0.1202,-1.1951
0.141,-1.2932
0.1634,-1.3909
0.1875,-1.4883
0.2132,-1.5852
0.2405,-1.6816
0.2694,-1.7777
0.2999,-1.8732
0.332,-1.9681
0.3657,-2.0626
0.4009,-2.1564
0.4377,-2.2497
0.4761,-2.3423
0.516,-2.4343
0.5575,-2.5256
0.6004,-2.6162
0.6449,-2.7061
0.6909,-2.7952
0.7383,-2.8835
0.7872,-2.971
0.8376,-3.0577
0.8894,-3.1435
0.9426,-3.2285
0.9973,-3.3126
1.0534,-3.3957
1.1108,-3.4779
1.1696,-3.5591
1.2297,-3.6393
1.2912,-3.7185
1.354,-3.7967
1.4181,-3.8738
1.4835,-3.9498
1.5501,-4.0247
1.618,-4.0985
1.6871,-4.1712
1.7574,-4.2426
1.8288,-4.3129
1.9015,-4.382
1.9753,-4.4499
2.0502,-4.5165
2.1262,-4.5819
2.2033,-4.646
2.2815,-4.7088
2.3607,-4.7703
2.4409,-4.8304
2.5221,-4.8892
2.6043,-4.9466
2.6874,-5.0027
2.7715,-5.0574
2.8565,-5.1106
2.9423,-5.1624
3.029,-5.2128
3.1165,-5.2617
3.2048,-5.3091
3.2939,-5.3551
3.3838,-5.3996
3.4744,-5.4425
3.5657,-5.484
3.6577,-5.5239
3.7503,-5.5623
3.8436,-5.5991
3.9374,-5.6343
4.0319,-5.668
4.1268,-5.7001
4.2223,-5.7306
4.3184,-5.7595
4.4148,-5.7868
4.5117,-5.8125
4.6091,-5.8366
4.7068,-5.859
4.8049,-5.8798
4.9033,-5.8989
5.002,-5.9164
5.101,-5.9323
5.2003,-5.9465
5.2998,-5.959
5.3994,-5.9699
5.4993,-5.9791
5.5992,-5.9866
5.6993,-5.9925
5.7995,-5.9966
5.8997,-5.9992
6.0,-6.0
6.1003,-5.9992
6.2005,-5.9966
6.3007,-5.9925
6.4008,-5.9866
6.5007,-5.9791
6.6006,-5.9699
6.7002,-5.959
6.7997,-5.9465
6.899,-5.9323
6.998,-5.9164
7.0967,-5.8989
7.1951,-5.8798
7.2932,-5.859
7.3909,-5.8366
7.4883,-5.8125
7.5852,-5.7868
7.6816,-5.7595
7.7777,-5.7306
7.8732,-5.7001
7.9681,-5.668
8.0626,-5.6343
8.1564,-5.5991
8.2497,-5.5623
8.3423,-5.5239
8.4343,-5.484
8.5256,-5.4425
8.6162,-5.3996
8.7061,-5.3551
8.7952,-5.3091
8.8835,-5.2617
8.971,-5.2128
9.0577,-5.1624
9.1435,-5.1106
9.2285,-5.0574
9.3126,-5.0027
9.3957,-4.9466
9.4779,-4.8892
9.5591,-4.8304
9.6393,-4.7703
9.7185,-4.7088
9.7967,-4.646
9.8738,-4.5819
9.9498,-4.5165
10.0247,-4.4499
10.0985,-4.382
10.1712,-4.3129
10.2426,-4.2426
10.3129,-4.1712
10.382,-4.0985
10.4499,-4.0247
10.5165,-3.9498
10.5819,-3.8738
10.646,-3.7967
10.7088,-3.7185
10.7703,-3.6393
10.8304,-3.5591
10.8892,-3.4779
10.9466,-3.3957
11.0027,-3.3126
11.0574,-3.2285
11.1106,-3.1435
11.1624,-3.0577
11.2128,-2.971
11.2617,-2.8835
11.3091,-2.7952
11.3551,-2.7061
