x,y
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,0.0
7.2,0.0
7.3,0.0
7.4,0.0
7.5,0.0
7.6024,0.0035
7.7042,0.014
7.8052,0.0314
7.9047,0.0556
8.0023,0.0866
8.0976,0.1242
8.1901,0.1682
8.2794,0.2184
8.365,0.2745
8.4466,0.3364
8.5238,0.4037
8.5963,0.4762
8.6636,0.5534
8.7255,0.635
8.7816,0.7206
8.8318,0.8099
8.8758,0.9024
8.9134,0.9977
8.9444,1.0953
8.9686,1.1948
8.986,1.2958
8.9965,1.3976
9.0,1.5
9.0,1.6
9.0,1.7
9.0,1.8
9.0,1.9
9.0,2.0
9.0,2.1
9.0,2.2
9.0,2.3
9.0,2.4
9.0,2.5
9.0,2.6
9.0,2.7
9.0,2.8
9.0,2.9
9.0,3.0
9.0,3.1
9.0,3.2
9.0,3.3
9.0,3.4
9.0,3.5
9.0,3.6
9.0,3.7
9.0,3.8
9.0,3.9
9.0,4.0
9.0,4.1
9.0,4.2
9.0,4.3
9.0,4.4
9.0,4.5
9.0,4.6
9.0,4.7
9.0,4.8
9.0,4.9
9.0,5.0
9.0,5.1
9.0,5.2
9.0,5.3
9.0,5.4
9.0,5.5
9.0,5.6
9.0,5.7
9.0,5.8
9.0,5.9
9.0,6.0
9.0,6.1
9.0,6.2
9.0,6.3
9.0,6.4
9.0,6.5
9.0,6.6
9.0,6.7
9.0,6.8
9.0,6.9
9.0,7.0
9.0,7.1
9.0,7.2
9.0,7.3
9.0,7.4
9.0,7.5
8.9965,7.6024
8.986,7.7042
8.9686,7.8052
8.9444,7.9047
8.9134,8.0023
8.8758,8.0976
8.8318,8.1901
8.7816,8.2794
8.7255,8.365
8.6636,8.4466
8.5963,8.5238
8.5238,8.5963
8.4466,8.6636
8.365,8.7255
8.2794,8.7816
8.1901,8.8318
8.0976,8.8758
8.0023,8.9134
7.9047,8.9444
7.8052,8.9686
7.7042,8.986
7.6024,8.9965
7.5,9.0
7.4,9.0
7.3,9.0
7.2,9.0
7.1,9.0
7.0,9.0
6.9,9.0
6.8,9.0
6.7,9.0
6.6,9.0
6.5,9.0
6.4,9.0
6.3,9.0
6.2,9.0
6.1,9.0
6.0,9.0
5.9,9.0
5.8,9.0
5.7,9.0
5.6,9.0
5.5,9.0
5.4,9.0
5.3,9.0
5.2,9.0
5.1,9.0
5.0,9.0
4.9,9.0
4.8,9.0
4.7,9.0
4.6,9.0
4.5,9.0
4.4,9.0
4.3,9.0
4.2,9.0
4.1,9.0
4.0,9.0
3.9,9.0
3.8,9.0
3.7,9.0
3.6,9.0
3.5,9.0
3.4,9.0
3.3,9.0
3.2,9.0
3.1,9.0
3.0,9.0
2.9,9.0
2.8,9.0
2.7,9.0
2.6,9.0
2.5,9.0
2.4,9.0
2.3,9.0
2.2,9.0
2.1,9.0
2.0,9.0
1.9,9.0
1.8,9.0
1.7,9.0
1.6,9.0
1.5,9.0
1.3976,8.9965
1.2958,8.986
1.1948,8.9686
1.0953,8.9444
0.9977,8.9134
0.9024,8.8758
0.8099,8.8318
0.7206,8.7816
0.635,8.7255
0.5534,8.6636
0.4762,8.5963
0.4037,8.5238
0.3364,8.4466
0.2745,8.365
0.2184,8.2794
0.1682,8.1901
0.1242,8.0976
0.0866,8.0023
0.0556,7.9047
0.0314,7.8052
0.014,7.7042
0.0035,7.6024
0.0,7.5
0.0,7.4
0.0,7.3
0.0,7.2
0.0,7.1
0.0,7.0
0.0,6.9
0.0,6.8
0.0,6.7
0.0,6.6
0.0,6.5
0.0,6.4
0.0,6.3
0.0,6.2
0.0,6.1
0.0,6.0
0.0,5.9
0.0,5.8
0.0,5.7
0.0,5.6
0.0,5.5
0.0,5.4
0.0,5.3
0.0,5.2
0.0,5.1
0.0,5.0
0.0,4.9
0.0,4.8
0.0,4.7
0.0,4.6
0.0,4.5
0.0,4.4
0.0,4.3
0.0,4.2
0.0,4.1
0.0,4.0
0.0,3.9
0.0,3.8
0.0,3.7
0.0,3.6
0.0,3.5
0.0,3.4
0.0,3.3
0.0,3.2
0.0,3.1
0.0,3.0
0.0,2.9
0.0,2.8
0.0,2.7
0.0,2.6
0.0,2.5
0.0,2.4
0.0,2.3
0.0,2.2
0.0,2.1
0.0,2.0
0.0,1.9
0.0,1.8
0.0,1.7
0.0,1.6
0.0,1.5
0.0035,1.3976
0.014,1.2958
0.0314,1.1948
0.0556,1.0953
0.0866,0.9977
0.1242,0.9024
0.1682,0.8099
0.2184,0.7206
0.2745,0.635
0.3364,0.5534
0.4037,0.4762
0.4762,0.4037
0.5534,0.3364
0.635,0.2745
0.7206,0.2184
0.8099,0.1682
0.9024,0.1242
