x,y
0.0,0.0
0.53976,0.53912
1.07824,1.0728
1.61392,1.59584
2.1456,2.1028800000000003
2.672,2.58888
3.1916,3.04904
3.7032800000000003,3.4787999999999997
4.20568,3.8737600000000003
4.6976,4.2299999999999995
5.17776,4.54392
5.645040000000001,4.812480000000001
6.09816,5.03304
6.5360000000000005,5.2032
6.95752,5.32144
7.36168,5.386480000000001
7.747440000000001,5.39768
8.113840000000001,5.35496
8.45992,5.258800000000001
8.78488,5.11
9.08792,4.910240000000001
9.368160000000001,4.66136
9.62504,4.36592
9.857840000000001,4.026800000000001
10.066,3.64752
10.24904,3.23176
10.4064,2.7836800000000004
10.537840000000001,2.30784
10.64288,1.8089600000000001
10.72128,1.2919200000000002
10.772960000000001,0.7620800000000001
10.79768,0.22456
10.79536,-0.31520000000000004
10.766160000000001,-0.85184
10.71,-1.3799200000000003
10.627040000000001,-1.89424
10.517520000000001,-2.3896
10.38176,-2.86112
10.220080000000001,-3.3040000000000003
10.032800000000002,-3.7139200000000003
9.8204,-4.08672
9.58352,-4.4187199999999995
9.32264,-4.70648
9.03848,-4.94728
8.73176,-5.1386400000000005
8.4032,-5.27864
8.053600000000001,-5.36592
7.6839200000000005,-5.3996
7.29504,-5.3792800000000005
6.887840000000001,-5.30528
6.46352,-5.17816
6.02296,-4.99936
5.56744,-4.77064
5.09792,-4.4942400000000005
4.61568,-4.17296
4.12192,-3.8099200000000004
3.6178400000000006,-3.4088000000000003
3.1048,-2.97368
2.5839200000000004,-2.50888
2.05656,-2.01896
1.52408,-1.5088800000000002
0.9878399999999999,-0.9836800000000001
0.44904000000000005,-0.44872
-0.0908,0.0908
-0.63048,0.62936
-1.16848,1.16168
-1.70368,1.68232
-2.23456,2.18616
-2.7598400000000005,2.6682400000000004
-3.2782400000000003,3.1236
-3.78848,3.5477600000000002
-4.2892,3.9364
-4.7792,4.28584
-5.257280000000001,4.59232
-5.72224,4.85304
-6.17288,5.065200000000001
-6.60808,5.226800000000001
-7.026720000000001,5.33608
-7.427840000000001,5.3921600000000005
-7.8104000000000005,5.3943200000000004
-8.17344,5.342560000000001
-8.51608,5.23744
-8.83736,5.07992
-9.13664,4.87176
-9.41304,4.614800000000001
-9.66592,4.31184
-9.89456,3.9657600000000004
-10.09856,3.58
-10.277280000000001,3.15856
-10.430320000000002,2.70552
-10.557360000000001,2.2254400000000003
-10.65792,1.7231200000000002
-10.73184,1.2036
-10.77896,0.67208
-10.7992,0.13376
-10.7924,-0.40584
-10.758560000000001,-0.9413600000000001
-10.697920000000002,-1.4675200000000002
-10.61048,-1.97896
-10.49656,-2.47072
-10.3564,-2.9376800000000003
-10.19032,-3.37536
-9.998800000000001,-3.77936
-9.782240000000002,-4.14552
-9.54128,-4.4702399999999995
-9.27648,-4.75032
-8.988480000000001,-4.98296
-8.678,-5.16584
-8.34584,-5.29704
-7.9928,-5.375360000000001
-7.619840000000001,-5.399920000000001
-7.227760000000001,-5.37056
-6.81768,-5.287520000000001
-6.390560000000001,-5.151680000000001
-5.94744,-4.9644
-5.48944,-4.7274400000000005
-5.01768,-4.443280000000001
-4.533440000000001,-4.11472
-4.03784,-3.7450400000000004
-3.5321599999999997,-3.33792
-3.0176800000000004,-2.89752
-2.49568,-2.42808
-1.9673600000000002,-1.9344000000000001
-1.43416,-1.42144
