t,x,y
1773820421.6020417,0.0,0.0
1773820421.6373656,0.0,0.0
1773820421.6716022,0.0,0.0
1773820421.7060301,0.0,0.0
1773820421.7371461,0.0,0.0
1773820421.772315,0.0,0.0
1773820421.8021324,0.0,0.0
1773820421.8373923,0.0,0.0
1773820421.871567,0.0,0.0
1773820421.9058635,0.0,0.0
1773820421.9368367,0.0,0.0
1773820421.9721243,0.0,0.0
1773820422.0010662,0.0,0.0
1773820422.0369878,0.0,0.0
1773820422.071676,0.0,0.0
1773820422.1018429,0.0,0.0
1773820422.1374862,0.0,0.0
1773820422.1719184,0.0,0.0
1773820422.2019231,0.0,0.0
1773820422.2373035,0.0,0.0
1773820422.2715917,0.0,0.0
1773820422.3058712,0.0,0.0
1773820422.3369248,0.0,0.0
1773820422.3723714,0.0,0.0
1773820422.4020357,0.0,0.0
1773820422.437369,0.0,0.0
1773820422.4724486,0.0,0.0
1773820422.5060067,0.0,0.0
1773820422.536584,0.0,0.0
1773820422.5720549,0.0,0.0
1773820422.6019492,0.0,0.0
1773820422.6373172,0.0,0.0
1773820422.6716096,0.0,0.0
1773820422.7015772,0.0,0.0
1773820422.737023,0.0,0.0
1773820422.7722886,0.0,0.0
1773820422.8022642,0.0,0.0
1773820422.8365993,0.0,0.0
1773820422.8720927,0.0,0.0
1773820422.9019496,0.0,0.0
1773820422.9373977,0.0,0.0
1773820422.9725263,0.0,0.0
1773820423.0023894,0.0,0.0
1773820423.0366533,0.0,0.0
1773820423.071997,0.0,0.0
1773820423.1020312,0.0,0.0
1773820423.137298,0.0,0.0
1773820423.1725786,0.0,0.0
1773820423.205836,0.0,0.0
1773820423.2369847,0.0,0.0
1773820423.2723138,0.0,0.0
1773820423.3023412,0.0,0.0
1773820423.3366263,0.0,0.0
1773820423.372016,0.0,0.0
1773820423.4021716,0.0,0.0
1773820423.437692,0.0,0.0
1773820423.47217,0.0,0.0
1773820423.5021577,0.0,0.0
1773820423.537212,0.0,0.0
1773820423.5724304,0.0,0.0
1773820423.6024156,0.0,0.0
1773820423.6367426,0.0,0.0
1773820423.6721616,0.0,0.0
1773820423.7023284,0.0,0.0
1773820423.7376077,0.0,0.0
1773820423.7722065,0.0,0.0
1773820423.8022437,0.0,0.0
1773820423.8374062,0.0,0.0
