t,x,y
1773831765.3017178,0.0,0.0
1773831765.336957,0.0,0.0
1773831765.3670511,0.0,0.0
1773831765.401734,0.0,0.0
1773831765.436954,0.0,0.0
1773831765.4669132,0.0,0.0
1773831765.5021877,0.0,0.0
1773831765.5363476,0.0,0.0
1773831765.5670176,0.0,0.0
1773831765.6019313,0.0,0.0
1773831765.6362858,0.0,0.0
1773831765.66735,0.0,0.0
1773831765.7016973,0.0,0.0
1773831765.7368183,0.0,0.0
1773831765.76986,0.0,0.0
1773831765.8019981,0.0,0.0
1773831765.8369734,0.0,0.0
1773831765.8672814,0.0,0.0
1773831765.902044,0.0,0.0
1773831765.9363797,0.0,0.0
1773831765.9673486,0.0,0.0
1773831766.0025012,0.0,0.0
1773831766.0371969,0.0,0.0
1773831766.0672917,0.0,0.0
1773831766.1016657,0.0,0.0
1773831766.136258,0.0,0.0
1773831766.16664,0.0,0.0
1773831766.2020612,0.0,0.0
1773831766.2362583,0.0,0.0
1773831766.269943,0.0,0.0
1773831766.3020873,0.0,0.0
1773831766.337059,0.0,0.0
1773831766.3668342,0.0,0.0
1773831766.4016988,0.0,0.0
1773831766.4368925,0.0,0.0
1773831766.4671247,0.0,0.0
1773831766.5017009,0.0,0.0
1773831766.5369766,0.0,0.0
1773831766.5676522,0.0,0.0
1773831766.6017601,0.0,0.0
1773831766.636973,0.0,0.0
1773831766.6669064,0.0,0.0
1773831766.7022398,0.0,0.0
1773831766.7367327,0.0,0.0
1773831766.7700233,0.0,0.0
1773831766.8024013,0.0,0.0
1773831766.8367693,0.0,0.0
1773831766.8668735,0.0,0.0
1773831766.9023697,0.0,0.0
1773831766.9367049,0.0,0.0
1773831766.9667606,0.0,0.0
1773831767.0023375,0.0,0.0
1773831767.0369873,0.0,0.0
1773831767.0672529,0.0,0.0
1773831767.1018488,0.0,0.0
1773831767.136433,0.0,0.0
1773831767.1674733,0.0,0.0
1773831767.2019196,0.0,0.0
1773831767.2360988,0.0,0.0
1773831767.270444,0.0,0.0
1773831767.3023927,0.0,0.0
1773831767.3358579,0.0,0.0
1773831767.3674448,0.0,0.0
1773831767.4020774,0.0,0.0
1773831767.4363549,0.0,0.0
1773831767.4673395,0.0,0.0
1773831767.5026257,0.0,0.0
1773831767.537174,0.0,0.0
1773831767.5670092,0.0,0.0
1773831767.6024802,0.0,0.0
1773831767.6367202,0.0,0.0
1773831767.666658,0.0,0.0
1773831767.7023773,0.0,0.0
1773831767.7366724,0.0,0.0
1773831767.7697816,0.0,0.0
1773831767.801976,0.0,0.0
1773831767.8363361,0.0,0.0
1773831767.8667185,0.0,0.0
1773831767.90218,0.0,0.0
1773831767.9364953,0.0,0.0
1773831767.9675841,0.0,0.0
1773831768.0026703,0.0,0.0
1773831768.037059,0.0,0.0
1773831768.0670178,0.0,0.0
1773831768.10178,0.0,0.0
1773831768.1369224,0.0,0.0
1773831768.1671684,0.0,0.0
1773831768.2025752,0.0,0.0
1773831768.2371747,0.0,0.0
1773831768.2704496,0.0,0.0
1773831768.3025627,0.0,0.0
1773831768.336891,0.0,0.0
1773831768.3668232,0.0,0.0
1773831768.4022353,0.0,0.0
1773831768.4367847,0.0,0.0
1773831768.4669175,0.0,0.0
1773831768.5021625,0.0,0.0
